レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-08大　村長崎新聞社杯1R,1,3906,7.02,晴,南,3,2,大　村,1,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
2020-08-08大　村長崎新聞社杯1R,2,4948,7.08,晴,南,3,2,大　村,6,木場悠介,27,長崎,52,B1,4.73,30.91,4.23,18.03,59.26,41.18
2020-08-08大　村長崎新聞社杯1R,3,4747,7.07,晴,南,3,2,大　村,3,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
2020-08-08大　村長崎新聞社杯1R,4,4299,7.08,晴,南,3,2,大　村,5,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
2020-08-08大　村長崎新聞社杯1R,5,4241,7.14,晴,南,3,2,大　村,2,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
2020-08-08大　村長崎新聞社杯1R,6,3936,7.12,晴,南,3,2,大　村,4,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
2020-08-08大　村長崎新聞社杯2R,1,4248,7.12,晴,南,2,1,大　村,1,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
2020-08-08大　村長崎新聞社杯2R,2,4715,7.07,晴,南,2,1,大　村,3,村上　遼,28,長崎,51,A2,6.46,45.56,6.29,47.13,20.83,30.3
2020-08-08大　村長崎新聞社杯2R,3,5048,7.03,晴,南,2,1,大　村,2,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
2020-08-08大　村長崎新聞社杯2R,4,3491,7.06,晴,南,2,1,大　村,4,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
2020-08-08大　村長崎新聞社杯2R,5,3843,7.04,晴,南,2,1,大　村,6,上之晃弘,44,長崎,52,B1,4.1,23.46,5.95,42.76,0.0,38.71
2020-08-08大　村長崎新聞社杯2R,6,4919,7.06,晴,南,2,1,大　村,5,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
2020-08-08大　村長崎新聞社杯3R,1,4164,7.03,晴,南,2,1,大　村,1,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
2020-08-08大　村長崎新聞社杯3R,2,3151,7.1,晴,南,2,1,大　村,6,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
2020-08-08大　村長崎新聞社杯3R,3,3752,7.0,晴,南,2,1,大　村,3,宇土泰就,49,福岡,54,B1,4.49,25.0,4.55,29.55,31.25,62.07
2020-08-08大　村長崎新聞社杯3R,4,4096,7.02,晴,南,2,1,大　村,2,石橋道友,38,長崎,53,A1,6.32,45.16,7.19,59.38,26.09,41.18
2020-08-08大　村長崎新聞社杯3R,5,5071,7.07,晴,南,2,1,大　村,5,野見山拓,26,福岡,51,B2,2.02,5.88,1.61,0.0,40.0,20.69
2020-08-08大　村長崎新聞社杯3R,6,4498,7.0,晴,南,2,1,大　村,4,宮本夏樹,33,長崎,54,A2,5.53,30.67,5.96,41.51,22.73,19.23
2020-08-08大　村長崎新聞社杯4R,1,4193,6.95,晴,南,2,1,大　村,5,郷原章平,38,福岡,53,A1,6.47,52.94,6.17,55.56,53.85,69.57
2020-08-08大　村長崎新聞社杯4R,2,4424,6.93,晴,南,2,1,大　村,3,松尾昂明,35,福岡,50,A2,6.21,48.09,6.8,46.67,22.73,14.29
2020-08-08大　村長崎新聞社杯4R,3,4070,7.02,晴,南,2,1,大　村,6,中村亮太,39,長崎,50,A2,6.75,49.56,7.08,60.0,27.27,41.18
