レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-18大　村ニッカン・コム杯1R,1,3773,6.91,曇り ,北西,2,1,1,津留浩一,46,長崎,55,B1,4.71,27.54,5.61,37.89,27.91,26.19
2020-09-18大　村ニッカン・コム杯1R,2,4884,6.88,曇り ,北西,2,1,2,勝浦真帆,24,岡山,47,B1,5.02,33.33,4.91,26.09,13.89,16.22
2020-09-18大　村ニッカン・コム杯1R,3,4241,6.94,曇り ,北西,2,1,5,大串重幸,35,長崎,52,B1,4.69,26.8,5.46,36.99,56.1,41.86
2020-09-18大　村ニッカン・コム杯1R,4,4299,6.97,曇り ,北西,2,1,4,中島浩哉,37,長崎,57,B1,4.79,27.1,5.16,34.15,31.48,25.81
2020-09-18大　村ニッカン・コム杯1R,5,4329,6.9,曇り ,北西,2,1,6,小松卓司,37,福岡,50,B1,5.36,32.43,3.88,12.5,40.0,9.76
2020-09-18大　村ニッカン・コム杯2R,1,4324,6.88,曇り ,北,3,2,2,海野康志,32,山口,61,A1,6.23,39.66,7.0,51.35,20.51,38.64
2020-09-18大　村ニッカン・コム杯2R,2,3289,6.9,曇り ,北,3,2,1,高橋淳美,57,大阪,47,B1,4.78,34.57,3.81,19.05,39.58,34.0
2020-09-18大　村ニッカン・コム杯2R,3,3746,6.85,曇り ,北,3,2,3,岡瀬正人,45,岡山,52,A2,6.02,40.54,6.2,44.44,36.96,36.36
2020-09-18大　村ニッカン・コム杯2R,4,4892,6.9,曇り ,北,3,2,5,柴田直哉,30,福岡,50,B1,4.74,22.35,3.2,13.33,29.82,33.96
2020-09-18大　村ニッカン・コム杯2R,5,3070,6.9,曇り ,北,3,2,4,山室展弘,59,岡山,50,A2,5.54,42.68,6.13,44.23,36.36,25.0
2020-09-18大　村ニッカン・コム杯2R,6,4874,6.88,曇り ,北,3,2,6,池田奈津,26,福岡,50,B1,4.28,23.17,5.14,28.57,50.0,42.55
