レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-19大　村ニッカン・コム杯1R,1,4241,6.87,曇り ,南,1,1,1,大串重幸,35,長崎,52,B1,4.69,26.8,5.46,36.99,56.1,41.86
2020-09-19大　村ニッカン・コム杯1R,2,3773,6.91,曇り ,南,1,1,2,津留浩一,46,長崎,55,B1,4.71,27.54,5.61,37.89,27.91,26.19
2020-09-19大　村ニッカン・コム杯1R,3,4299,6.95,曇り ,南,1,1,3,中島浩哉,37,長崎,57,B1,4.79,27.1,5.16,34.15,31.48,25.81
2020-09-19大　村ニッカン・コム杯1R,4,4273,6.89,曇り ,南,1,1,5,佐藤　旭,38,静岡,52,B1,5.05,29.59,4.43,17.86,25.0,54.72
2020-09-19大　村ニッカン・コム杯1R,5,4383,6.94,曇り ,南,1,1,6,竹田吉行,35,徳島,51,B1,5.34,31.03,6.17,50.0,18.42,33.33
2020-09-19大　村ニッカン・コム杯1R,6,5052,6.87,曇り ,南,1,1,4,赤井星璃,25,大阪,50,B2,1.79,0.0,1.53,0.0,38.64,33.33
2020-09-19大　村ニッカン・コム杯2R,1,3070,6.88,曇り ,南,1,1,5,山室展弘,59,岡山,50,A2,5.54,42.68,6.13,44.23,36.36,25.0
2020-09-19大　村ニッカン・コム杯2R,2,4329,6.89,曇り ,南,1,1,2,小松卓司,37,福岡,50,B1,5.36,32.43,3.88,12.5,40.0,9.76
2020-09-19大　村ニッカン・コム杯2R,3,3435,6.89,曇り ,南,1,1,4,寺田千恵,51,岡山,46,A1,6.2,45.71,7.53,60.0,48.89,25.93
2020-09-19大　村ニッカン・コム杯2R,4,4485,6.91,曇り ,南,1,1,3,楠原正剛,34,福岡,57,A2,5.53,34.21,5.5,41.67,27.27,21.62
2020-09-19大　村ニッカン・コム杯2R,5,4874,6.9,曇り ,南,1,1,6,池田奈津,26,福岡,50,B1,4.28,23.17,5.14,28.57,50.0,42.55
2020-09-19大　村ニッカン・コム杯3R,1,3663,6.93,曇り ,北,2,1,2,木山和幸,50,広島,50,B1,4.95,25.89,4.75,25.0,18.6,40.82
2020-09-19大　村ニッカン・コム杯3R,2,4107,6.92,曇り ,北,2,1,1,吉村茂樹,40,群馬,64,B1,3.52,15.09,5.0,40.0,33.33,15.91
2020-09-19大　村ニッカン・コム杯3R,3,4441,6.92,曇り ,北,2,1,3,末永由楽,34,岡山,51,A1,6.08,41.98,5.74,35.48,35.09,38.3
2020-09-19大　村ニッカン・コム杯3R,4,4207,6.87,曇り ,北,2,1,4,松下一也,37,静岡,53,A2,6.59,55.24,5.64,33.33,36.0,42.22
